Color,Crash,Day,Hour,Minute,Second
0,1.67,30,21,38,0
0,1.19,30,21,37,45
0,1.04,30,21,37,30
1,4.19,30,21,37,20
1,2.3,30,21,36,45
0,1.9,30,21,36,20
1,4.14,30,21,36,0
0,1.21,30,21,35,25
1,4.67,30,21,35,15
1,35.1,30,21,34,40
1,9.09,30,21,33,30
1,4.46,30,21,32,40
1,6.29,30,21,32,5
1,27.3,30,21,31,25
0,1.58,30,21,30,20
1,3.28,30,21,30,5
1,62.6,30,21,29,35
0,1.5,30,21,28,15
1,2.99,30,21,28,0
0,1.04,30,21,27,30
0,1.37,30,21,27,20
0,1.4,30,21,27,5
0,1.78,30,21,26,50
0,1.05,30,21,26,30
1,3.38,30,21,26,20
1,132.0,30,21,25,45
0,1.68,30,21,24,15
1,8.48,30,21,23,55
0,1.39,30,21,23,10
1,4.38,30,21,22,55
0,1.05,30,21,22,20
0,1.0,30,21,22,10
0,1.1,30,21,22,0
1,3.83,30,21,21,50
1,3.52,30,21,21,15
0,1.64,30,21,20,45
1,6.25,30,21,20,25
0,1.07,30,21,19,45
1,6.26,30,21,19,35
1,2.12,30,21,18,54
1,11.5,30,21,18,34
0,1.28,30,21,17,39
1,2.63,30,21,17,25
0,1.0,30,21,16,55
1,18.7,30,21,16,39
1,21.4,30,21,15,39
1,3.0,30,21,14,39
1,16.9,30,21,14,14
1,6.65,30,21,13,14
0,1.19,30,21,12,34
1,6.8,30,21,12,19
1,15.5,30,21,11,39
0,1.04,30,21,10,44
0,1.07,30,21,10,34
1,2.34,30,21,10,19
0,1.18,30,21,9,59
0,1.06,30,21,9,44
1,2.78,30,21,9,34
1,3.45,30,21,9,4
0,1.4,30,21,8,34
1,4.35,30,21,8,19
0,1.07,30,21,7,49
0,1.1,30,21,7,34
1,6.14,30,21,7,24
1,10.3,30,21,6,44
1,3.28,30,21,5,54
0,1.64,30,21,5,24
0,1.27,30,21,5,4
0,1.73,30,21,4,49
0,1.23,30,21,4,34
1,2.54,30,21,4,19
1,14.9,30,21,3,54
1,14.3,30,21,2,59
1,2.18,30,21,2,4
0,1.06,30,21,1,39
0,1.96,30,21,1,29
1,7.43,30,21,1,9
1,3.15,30,21,0,24
1,6.95,30,20,59,54
0,1.0,30,20,59,18
0,1.0,30,20,59,3
0,1.24,30,20,58,54
1,3.58,30,20,58,38
1,3.67,30,20,58,8
1,8.31,30,20,57,33
0,1.85,30,20,56,48
0,1.23,30,20,56,28
0,1.29,30,20,56,13
0,1.02,30,20,56,3
0,1.05,30,20,55,48
0,1.42,30,20,55,38
0,1.6,30,20,55,23
0,1.21,30,20,55,8
1,10.4,30,20,54,53
0,1.0,30,20,54,3
1,2.34,30,20,53,53
1,2.12,30,20,53,28
1,2.85,30,20,53,8
0,1.19,30,20,52,38
0,1.52,30,20,52,28
1,3.54,30,20,52,8
1,15.3,30,20,51,38
0,1.71,30,20,50,43
0,1.0,30,20,50,23
0,1.63,30,20,50,13
0,1.17,30,20,49,53
1,2.77,30,20,49,43
1,3.14,30,20,49,13
1,8.23,30,20,48,48
1,2.01,30,20,48,3
0,1.06,30,20,47,38
0,1.0,30,20,47,28
1,119.0,30,20,47,10
1,9.2,30,20,45,43
0,1.0,30,20,44,58
0,1.32,30,20,44,44
1,9.98,30,20,44,28
0,1.45,30,20,43,38
1,6.91,30,20,43,23
0,1.73,30,20,42,38
0,1.01,30,20,42,18
0,1.61,30,20,42,8
0,1.65,30,20,41,48
0,1.85,30,20,41,33
1,2.37,30,20,41,13
1,4.68,30,20,40,48
0,1.88,30,20,40,13
1,2.64,30,20,39,48
1,4.87,30,20,39,23
0,1.59,30,20,38,47
1,2.12,30,20,38,27
0,1.01,30,20,38,7
0,1.04,30,20,37,58
0,1.0,30,20,37,47
0,1.42,30,20,37,37
0,1.0,30,20,37,17
0,1.57,30,20,37,7
1,7.47,30,20,36,52
0,1.19,30,20,36,7
1,3.07,30,20,35,57
0,1.12,30,20,35,27
0,1.0,30,20,35,17
1,10.0,30,20,35,7
0,1.61,30,20,34,17
0,1.0,30,20,33,57
0,1.09,30,20,33,47
1,7.74,30,20,33,37
1,2.07,30,20,32,52
0,1.01,30,20,32,32
1,2.0,30,20,32,22
0,1.17,30,20,31,57
0,1.36,30,20,31,47
0,1.16,30,20,31,32
1,22.2,30,20,31,17
1,3.1,30,20,30,17
1,13.7,30,20,29,47
0,1.99,30,20,28,52
1,2.48,30,20,28,32
0,1.23,30,20,28,7
0,1.2,30,20,27,52
0,1.0,30,20,27,42
0,1.03,30,20,27,32
1,6.02,30,20,27,22
1,2.16,30,20,26,42
1,2.82,30,20,26,17
0,1.74,30,20,25,52
1,2.25,30,20,25,32
0,1.84,30,20,25,7
1,3.07,30,20,24,47
0,1.5,30,20,24,17
0,1.0,30,20,24,2
1,5.06,30,20,23,52
1,2.05,30,20,23,17
1,13.1,30,20,22,52
1,2.43,30,20,22,2
1,2.86,30,20,21,37
0,1.36,30,20,21,7
1,2.75,30,20,20,52
1,8.28,30,20,20,27
1,2.51,30,20,19,42
0,1.97,30,20,19,13
1,7.92,30,20,18,52
0,1.69,30,20,18,12
0,1.0,30,20,17,52
0,1.27,30,20,17,41
1,2.93,30,20,17,26
1,2.08,30,20,16,57
0,1.32,30,20,16,36
0,1.0,30,20,16,21
1,2.71,30,20,16,11
0,1.95,30,20,15,46
1,8.73,30,20,15,21
1,4.52,30,20,14,36
1,2.07,30,20,14,1
0,1.16,30,20,13,47
1,3.96,30,20,13,26
0,1.0,30,20,12,56
0,1.2,30,20,12,46
1,2.8,30,20,12,31
0,1.13,30,20,12,6
1,4.59,30,20,11,51
1,11.9,30,20,11,16
0,1.86,30,20,10,26
1,6.33,30,20,10,6
1,3.58,30,20,9,26
1,3.65,30,20,8,51
0,1.35,30,20,8,21
0,1.6,30,20,8,6
1,7.25,30,20,7,51
0,1.19,30,20,7,6
0,1.76,30,20,6,51
0,1.12,30,20,6,31
0,1.0,30,20,6,21
1,3.76,30,20,6,11
1,2.65,30,20,5,41
0,1.29,30,20,5,11
0,1.13,30,20,5,1
1,13.1,30,20,4,46
1,4.44,30,20,3,56
0,1.7,30,20,3,21
0,1.31,30,20,3,1
0,1.84,30,20,2,46
0,1.3,30,20,2,26
0,1.29,30,20,2,11
0,1.75,30,20,2,1
0,1.7,30,20,1,36
1,2.07,30,20,1,21
0,1.27,30,20,0,56
1,5.01,30,20,0,41
0,1.4,30,20,0,6
0,1.07,30,19,59,51
0,1.28,30,19,59,41
1,4.29,30,19,59,26
0,1.0,30,19,58,51
0,1.2,30,19,58,41
0,1.45,30,19,58,26
1,2.56,30,19,58,11
1,4.51,30,19,57,46
0,1.27,30,19,57,11
1,2.81,30,19,56,55
1,2.67,30,19,56,30
1,2.69,30,19,56,0
1,5.32,30,19,55,35
1,5.4,30,19,55,0
1,3.79,30,19,54,20
0,1.4,30,19,53,45
0,1.64,30,19,53,30
1,3.42,30,19,53,15
0,1.0,30,19,52,45
1,2.27,30,19,52,35
1,5.43,30,19,52,15
1,2.04,30,19,51,30
1,3.09,30,19,51,10
1,2.02,30,19,50,40
1,3.4,30,19,50,20
1,2.34,30,19,49,50
0,1.2,30,19,49,25
0,1.75,30,19,49,10
0,1.0,30,19,48,50
0,1.17,30,19,48,40
0,1.13,30,19,48,30
1,2.92,30,19,48,15
0,1.66,30,19,47,50
1,10.2,30,19,47,30
1,4.31,30,19,46,40
1,2.52,30,19,46,6
0,1.46,30,19,45,40
0,1.63,30,19,45,26
1,32.3,30,19,45,10
1,3.53,30,19,44,0
0,1.47,30,19,43,30
1,52.1,30,19,43,10
1,8.3,30,19,41,55
0,1.06,30,19,41,10
0,1.77,30,19,41,0
1,8.28,30,19,40,40
0,1.45,30,19,39,55
0,1.42,30,19,39,40
1,3.07,30,19,39,25
1,9.95,30,19,38,55
0,1.0,30,19,38,5
0,1.29,30,19,37,54
1,33.7,30,19,37,39
0,1.28,30,19,36,34
1,5.61,30,19,36,19
1,2.26,30,19,35,39
1,7.74,30,19,35,14
1,3.96,30,19,34,34
1,5.99,30,19,33,59
1,5.96,30,19,33,19
0,1.47,30,19,32,39
1,21.3,30,19,32,24
0,1.21,30,19,31,24
1,3.12,30,19,31,9
1,8.77,30,19,30,39
0,1.4,30,19,29,54
0,1.27,30,19,29,39
0,1.93,30,19,29,24
0,1.48,30,19,29,4
0,1.0,30,19,28,44
1,2.38,30,19,28,35
0,1.61,30,19,28,14
0,1.0,30,19,27,54
0,1.25,30,19,27,44
0,1.07,30,19,27,29
0,1.65,30,19,27,19
0,1.0,30,19,26,59
1,5.05,30,19,26,49
1,17.2,30,19,26,14
1,86.9,30,19,25,14
0,1.66,30,19,23,54
0,1.62,30,19,23,34
1,3.21,30,19,23,14
0,1.85,30,19,22,44
0,1.45,30,19,22,24
0,1.25,30,19,22,9
1,3.78,30,19,21,54
1,5.74,30,19,21,24
0,1.65,30,19,20,44
1,122.0,30,19,20,24
0,1.34,30,19,18,54
1,2.24,30,19,18,39
0,1.06,30,19,18,19
1,2.16,30,19,18,9
0,1.2,30,19,17,44
0,1.2,30,19,17,29
1,2.07,30,19,17,18
0,1.66,30,19,16,53
1,9.32,30,19,16,38
1,2.33,30,19,15,48
0,1.52,30,19,15,23
0,1.27,30,19,15,8
0,1.59,30,19,14,53
1,3.86,30,19,14,38
0,1.17,30,19,14,3
1,3.52,30,19,13,53
1,4.83,30,19,13,18
1,15.9,30,19,12,43
0,1.13,30,19,11,48
0,1.0,30,19,11,33
1,6.96,30,19,11,23
1,84.2,30,19,10,43
0,1.77,30,19,9,18
1,2.2,30,19,8,58
1,5.85,30,19,8,38
0,1.79,30,19,7,58
1,4.89,30,19,7,38
1,2.53,30,19,7,3
1,11.5,30,19,6,33
1,18.7,30,19,5,43
1,2.93,30,19,4,48
0,1.22,30,19,4,18
0,1.94,30,19,4,3
1,3.77,30,19,3,43
1,5.04,30,19,3,13
0,1.51,30,19,2,33
1,9.47,30,19,2,18
1,8.06,30,19,1,28
0,1.0,30,19,0,43
0,1.0,30,19,0,33
1,4.75,30,19,0,23
1,2.4,30,18,59,48
1,3.37,30,18,59,23
0,1.48,30,18,58,53
0,1.91,30,18,58,38
1,2.44,30,18,58,18
1,60.4,30,18,57,53
0,1.52,30,18,56,32
0,1.69,30,18,56,18
1,2.2,30,18,55,57
1,3.04,30,18,55,32
0,1.12,30,18,55,2
1,3.77,30,18,54,52
1,2.0,30,18,54,23
1,2.36,30,18,53,57
0,1.7,30,18,53,32
1,3.05,30,18,53,17
0,1.0,30,18,52,47
1,11.0,30,18,52,38
0,1.04,30,18,51,47
0,1.08,30,18,51,37
1,2.23,30,18,51,27
0,1.18,30,18,51,2
1,22.1,30,18,50,47
1,6.28,30,18,49,47
1,2.08,30,18,49,7
1,17.4,30,18,48,42
0,1.9,30,18,47,47
0,1.26,30,18,47,27
1,46.8,30,18,47,12
0,1.6,30,18,45,57
0,1.0,30,18,45,37
0,1.83,30,18,45,27
0,1.0,30,18,45,7
1,30.1,30,18,44,57
1,10.1,30,18,43,47
0,1.02,30,18,43,2
0,1.17,30,18,42,47
1,2.21,30,18,42,37
0,1.0,30,18,42,12
0,1.06,30,18,42,2
1,4.81,30,18,41,52
1,3.06,30,18,41,17
0,1.84,30,18,40,47
0,1.0,30,18,40,27
0,1.0,30,18,40,17
1,6.29,30,18,40,7
1,7.73,30,18,39,27
1,6.05,30,18,38,42
0,1.67,30,18,38,2
1,5.63,30,18,37,42
0,1.0,30,18,37,2
1,2.15,30,18,36,52
0,1.32,30,18,36,32
1,2.01,30,18,36,17
1,2.53,30,18,35,57
1,11.7,30,18,35,32
0,1.38,30,18,34,36
0,1.56,30,18,34,21
1,3.0,30,18,34,7
0,1.14,30,18,33,36
0,1.07,30,18,33,26
1,2.75,30,18,33,11
0,1.32,30,18,32,46
0,1.02,30,18,32,32
1,2.11,30,18,32,29
0,1.01,30,18,32,6
0,1.04,30,18,31,51
0,1.03,30,18,31,36
1,2.54,30,18,31,16
0,1.66,30,18,30,46
1,3.5,30,18,30,26
0,1.89,30,18,29,56
1,5.69,30,18,29,36
1,5.36,30,18,29,1
0,1.75,30,18,28,16
0,1.14,30,18,27,56
0,1.71,30,18,27,46
1,2.2,30,18,27,26
0,1.81,30,18,27,1
1,31.8,30,18,26,46
1,4.97,30,18,25,36
1,2.01,30,18,25,1
1,2.36,30,18,24,41
0,1.89,30,18,24,11
0,1.67,30,18,23,51
1,2.77,30,18,23,36
0,1.38,30,18,23,6
1,11.8,30,18,22,51
1,4.3,30,18,22,1
0,1.26,30,18,21,26
0,1.03,30,18,21,11
0,1.78,30,18,21,1
1,21.3,30,18,20,41
1,32.1,30,18,19,41
0,1.46,30,18,18,31
1,2.83,30,18,18,16
1,2.35,30,18,17,51
1,11.5,30,18,17,26
0,1.94,30,18,16,36
0,1.51,30,18,16,11
0,1.14,30,18,15,56
0,1.27,30,18,15,46
1,2.09,30,18,15,31
0,1.02,30,18,15,6
0,1.0,30,18,14,56
0,1.29,30,18,14,46
1,2.31,30,18,14,36
0,1.0,30,18,14,11
1,11.6,30,18,14,1
1,4.6,30,18,13,7
0,1.07,30,18,12,30
1,6.44,30,18,12,20
0,1.11,30,18,11,40
1,4.55,30,18,11,30
0,1.02,30,18,10,55
0,1.4,30,18,10,45
1,3.93,30,18,10,25
0,1.44,30,18,9,55
0,1.0,30,18,9,40
0,1.31,30,18,9,30
0,1.05,30,18,9,15
0,1.63,30,18,9,5
1,11.8,30,18,8,45
0,1.87,30,18,7,55
0,1.4,30,18,7,35
0,1.69,30,18,7,15
